#{"t_start": 1596817961.930216, "env_id": null}
r,l,t
-449.0,43,1.459108
-550.0,123,1.848921
-500.0,82,1.974117
-528.0,91,2.151052
-543.0,93,2.329395
-580.0,109,2.535213
-458.0,50,2.609231
-405.0,16,2.635321
-480.0,75,2.786458
-485.0,74,2.904363
-448.0,57,3.033925
-663.0,153,3.340407
-543.0,80,3.535825
-546.0,105,3.735832
-562.0,119,4.057813
-825.0,316,4.950414
-482.0,59,5.04189
-484.0,52,5.160292
-460.0,46,5.230125
-425.0,25,5.271409
-433.0,27,5.352902
-430.0,20,5.390945
-488.0,60,5.495795
-472.0,58,5.625263
-530.0,94,5.780344
-816.0,230,6.291312
-515.0,81,6.493175
-397.0,13,6.52072
-447.0,44,6.591765
-681.0,192,7.041404
-751.0,219,7.571204
-412.0,16,7.667716
-682.0,170,8.330802
-402.0,20,8.423552
-423.0,26,8.540987
-581.0,131,9.239186
-758.0,228,9.683253
-534.0,108,9.875029
-562.0,119,10.107443
-893.0,314,10.842805
-670.0,199,11.210292
-852.0,281,11.703744
-541.0,95,11.943488
-621.0,144,12.278968
-418.0,19,12.30915
-656.0,171,12.79082
-854.0,263,13.747747
-925.0,323,14.910109
-592.0,130,15.353796
-387.0,6,15.380367
-994.0,350,16.220923
-405.0,16,16.254393
-862.0,287,16.763041
-533.0,115,16.973247
-548.0,102,17.157498
-1027.0,369,17.827651
-934.0,335,18.425854
-1077.0,397,19.54285
-640.0,138,19.943709
-466.0,46,20.088975
-507.0,63,20.204506
-532.0,76,20.376053
-1032.0,364,21.093852
-387.0,6,21.106799
-654.0,134,21.397413
